,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,6.839446465174357,1.1401473820841985,1.6019002596537273,0.2118904492203172,1e-05,1e-05,poly,"{'C': 1e-05, 'gamma': 1e-05, 'kernel': 'poly'}",0.21047305843663042,0.21047305843663042,0.21052631578947367,0.2104908075412161,2.5104573527098113e-05,187
1,7.028616746266683,1.2679043145163347,1.930224100748698,0.2815359304605285,1e-05,1e-05,rbf,"{'C': 1e-05, 'gamma': 1e-05, 'kernel': 'rbf'}",0.21047305843663042,0.21047305843663042,0.21052631578947367,0.2104908075412161,2.5104573527098113e-05,187
2,7.846575101216634,0.9577144425182351,2.3446293671925864,0.2603440755676141,1e-05,1e-05,sigmoid,"{'C': 1e-05, 'gamma': 1e-05, 'kernel': 'sigmoid'}",0.21047305843663042,0.21047305843663042,0.21052631578947367,0.2104908075412161,2.5104573527098113e-05,187
3,5.313012520472209,1.3192427772791793,1.3021458784739177,0.028099624460423217,1e-05,0.0001,poly,"{'C': 1e-05, 'gamma': 0.0001, 'kernel': 'poly'}",0.21047305843663042,0.21047305843663042,0.21052631578947367,0.2104908075412161,2.5104573527098113e-05,187
4,6.947102864583333,1.2987356760661926,1.9522351423899333,0.2794878395674451,1e-05,0.0001,rbf,"{'C': 1e-05, 'gamma': 0.0001, 'kernel': 'rbf'}",0.21047305843663042,0.21047305843663042,0.21052631578947367,0.2104908075412161,2.5104573527098113e-05,187
5,8.548269907633463,0.23369293997804103,2.5468364556630454,0.06285017469490829,1e-05,0.0001,sigmoid,"{'C': 1e-05, 'gamma': 0.0001, 'kernel': 'sigmoid'}",0.21047305843663042,0.21047305843663042,0.21052631578947367,0.2104908075412161,2.5104573527098113e-05,187
6,6.225952068964641,1.204467677610163,1.6613455613454182,0.25106923558854355,1e-05,0.001,poly,"{'C': 1e-05, 'gamma': 0.001, 'kernel': 'poly'}",0.21047305843663042,0.21047305843663042,0.21052631578947367,0.2104908075412161,2.5104573527098113e-05,187
7,7.088658253351848,1.0097071241450233,1.924503246943156,0.34121867179419674,1e-05,0.001,rbf,"{'C': 1e-05, 'gamma': 0.001, 'kernel': 'rbf'}",0.21047305843663042,0.21047305843663042,0.21052631578947367,0.2104908075412161,2.5104573527098113e-05,187
8,7.5298252900441485,0.7296414616187379,2.1292169094085693,0.24652227792854456,1e-05,0.001,sigmoid,"{'C': 1e-05, 'gamma': 0.001, 'kernel': 'sigmoid'}",0.21047305843663042,0.21047305843663042,0.21052631578947367,0.2104908075412161,2.5104573527098113e-05,187
9,7.180582205454509,0.12130544897686553,1.675460974375407,0.036929041456429695,1e-05,0.01,poly,"{'C': 1e-05, 'gamma': 0.01, 'kernel': 'poly'}",0.21047305843663042,0.21047305843663042,0.21052631578947367,0.2104908075412161,2.5104573527098113e-05,187
10,6.447907209396362,0.9836294278769391,1.7412558396657307,0.3053437890645276,1e-05,0.01,rbf,"{'C': 1e-05, 'gamma': 0.01, 'kernel': 'rbf'}",0.21047305843663042,0.21047305843663042,0.21052631578947367,0.2104908075412161,2.5104573527098113e-05,187
11,7.973778406778972,1.0618371808919262,2.437147855758667,0.23237063555476065,1e-05,0.01,sigmoid,"{'C': 1e-05, 'gamma': 0.01, 'kernel': 'sigmoid'}",0.21047305843663042,0.21047305843663042,0.21052631578947367,0.2104908075412161,2.5104573527098113e-05,187
12,5.54054594039917,1.126321368913164,1.398496150970459,0.215915765707177,1e-05,0.1,poly,"{'C': 1e-05, 'gamma': 0.1, 'kernel': 'poly'}",0.27220918538384176,0.24269264836138174,0.22317596566523604,0.2460280867624062,0.020155741337418553,172
13,7.160380919774373,1.3909742973261625,1.899565060933431,0.3192761674089473,1e-05,0.1,rbf,"{'C': 1e-05, 'gamma': 0.1, 'kernel': 'rbf'}",0.21047305843663042,0.21047305843663042,0.21052631578947367,0.2104908075412161,2.5104573527098113e-05,187
14,9.05123488108317,0.7074099707980659,2.7463905016581216,0.3055269101218773,1e-05,0.1,sigmoid,"{'C': 1e-05, 'gamma': 0.1, 'kernel': 'sigmoid'}",0.21047305843663042,0.21047305843663042,0.21052631578947367,0.2104908075412161,2.5104573527098113e-05,187
15,3.3689757188161216,0.6208513212593014,0.824109156926473,0.0957562116346795,1e-05,1,poly,"{'C': 1e-05, 'gamma': 1, 'kernel': 'poly'}",0.626746506986028,0.627016129032258,0.6190476190476191,0.6242705772430781,0.0036943073816682894,14
16,5.16621979077657,0.7817490309517185,1.944507360458374,0.33327138109134086,1e-05,1,rbf,"{'C': 1e-05, 'gamma': 1, 'kernel': 'rbf'}",0.0,0.0,0.21052631578947367,0.07016221042710452,0.09923837915265854,265
17,8.619734287261963,1.0093166368038644,2.8280816078186035,0.23761980993379686,1e-05,1,sigmoid,"{'C': 1e-05, 'gamma': 1, 'kernel': 'sigmoid'}",0.21047305843663042,0.21047305843663042,0.21052631578947367,0.2104908075412161,2.5104573527098113e-05,187
18,4.403382857640584,0.894999002565832,0.29058082898457843,0.05522333867913968,1e-05,10,poly,"{'C': 1e-05, 'gamma': 10, 'kernel': 'poly'}",0.5626911314984709,0.562947799385875,0.5573419078242229,0.5609939570786413,0.002584149226900216,29
19,6.217618703842163,0.6600260254997147,2.4583328564961753,0.2387112543541529,1e-05,10,rbf,"{'C': 1e-05, 'gamma': 10, 'kernel': 'rbf'}",0.0,0.0,0.21052631578947367,0.07016221042710452,0.09923837915265854,265
20,7.059730768203735,0.6059807219947732,2.3034059206644693,0.13380533116594326,1e-05,10,sigmoid,"{'C': 1e-05, 'gamma': 10, 'kernel': 'sigmoid'}",0.21047305843663042,0.21047305843663042,0.21052631578947367,0.2104908075412161,2.5104573527098113e-05,187
21,5.471289078394572,1.1378842129144175,0.3293476899464925,0.052113372111166366,1e-05,100,poly,"{'C': 1e-05, 'gamma': 100, 'kernel': 'poly'}",0.5648241206030151,0.5605749486652977,0.5550847457627118,0.5601617501431642,0.003986711714367008,33
22,4.488494634628296,1.021210153402315,1.8763495286305745,0.4781315677671099,1e-05,100,rbf,"{'C': 1e-05, 'gamma': 100, 'kernel': 'rbf'}",0.0,0.0,0.21052631578947367,0.07016221042710452,0.09923837915265854,265
23,6.469574451446533,0.9665100435587828,2.000807046890259,0.20326896228729568,1e-05,100,sigmoid,"{'C': 1e-05, 'gamma': 100, 'kernel': 'sigmoid'}",0.21047305843663042,0.21047305843663042,0.21052631578947367,0.2104908075412161,2.5104573527098113e-05,187
24,4.899265130360921,0.5998175053436645,0.3286653359731038,0.04925345536109344,1e-05,1000,poly,"{'C': 1e-05, 'gamma': 1000, 'kernel': 'poly'}",0.5648241206030151,0.5605749486652977,0.5550847457627118,0.5601617501431642,0.003986711714367008,33
25,5.066932837168376,0.8645814824248137,2.119791030883789,0.26303016144656705,1e-05,1000,rbf,"{'C': 1e-05, 'gamma': 1000, 'kernel': 'rbf'}",0.0,0.0,0.21052631578947367,0.07016221042710452,0.09923837915265854,265
26,6.686271588007609,0.8654327061121478,1.883833646774292,0.14447660413495947,1e-05,1000,sigmoid,"{'C': 1e-05, 'gamma': 1000, 'kernel': 'sigmoid'}",0.21047305843663042,0.21047305843663042,0.21052631578947367,0.2104908075412161,2.5104573527098113e-05,187
27,5.530187050501506,1.2016758635754843,0.3277893861134847,0.04653237368278687,1e-05,10000,poly,"{'C': 1e-05, 'gamma': 10000, 'kernel': 'poly'}",0.5648241206030151,0.5605749486652977,0.5550847457627118,0.5601617501431642,0.003986711714367008,33
28,5.067535956700643,0.9418442486219213,2.0779869556427,0.27988758244728895,1e-05,10000,rbf,"{'C': 1e-05, 'gamma': 10000, 'kernel': 'rbf'}",0.0,0.0,0.21052631578947367,0.07016221042710452,0.09923837915265854,265
29,5.956826686859131,1.0671037762924909,1.823238213857015,0.12619777486269246,1e-05,10000,sigmoid,"{'C': 1e-05, 'gamma': 10000, 'kernel': 'sigmoid'}",0.21047305843663042,0.21047305843663042,0.21052631578947367,0.2104908075412161,2.5104573527098113e-05,187
30,6.190894762674968,1.2123677565674502,1.6200795968373616,0.2245198716080166,0.0001,1e-05,poly,"{'C': 0.0001, 'gamma': 1e-05, 'kernel': 'poly'}",0.21047305843663042,0.21047305843663042,0.21052631578947367,0.2104908075412161,2.5104573527098113e-05,187
31,7.057217915852864,0.9441653287498566,1.8823893070220947,0.3175993763972898,0.0001,1e-05,rbf,"{'C': 0.0001, 'gamma': 1e-05, 'kernel': 'rbf'}",0.21047305843663042,0.21047305843663042,0.21052631578947367,0.2104908075412161,2.5104573527098113e-05,187
32,7.87447722752889,0.6318571166507019,2.331477721532186,0.24142383534529346,0.0001,1e-05,sigmoid,"{'C': 0.0001, 'gamma': 1e-05, 'kernel': 'sigmoid'}",0.21047305843663042,0.21047305843663042,0.21052631578947367,0.2104908075412161,2.5104573527098113e-05,187
33,5.410120964050293,1.187913185397865,1.4334322611490886,0.23170485960783985,0.0001,0.0001,poly,"{'C': 0.0001, 'gamma': 0.0001, 'kernel': 'poly'}",0.21047305843663042,0.21047305843663042,0.21052631578947367,0.2104908075412161,2.5104573527098113e-05,187
34,7.299818754196167,0.9170335060631961,1.7903814315795898,0.23590820085720735,0.0001,0.0001,rbf,"{'C': 0.0001, 'gamma': 0.0001, 'kernel': 'rbf'}",0.21047305843663042,0.21047305843663042,0.21052631578947367,0.2104908075412161,2.5104573527098113e-05,187
35,7.838346481323242,0.7236090491574069,2.345196803410848,0.16890596804487223,0.0001,0.0001,sigmoid,"{'C': 0.0001, 'gamma': 0.0001, 'kernel': 'sigmoid'}",0.21047305843663042,0.21047305843663042,0.21052631578947367,0.2104908075412161,2.5104573527098113e-05,187
36,6.243874708811442,1.4069186006266903,1.592087189356486,0.20807192290650142,0.0001,0.001,poly,"{'C': 0.0001, 'gamma': 0.001, 'kernel': 'poly'}",0.21047305843663042,0.21047305843663042,0.21052631578947367,0.2104908075412161,2.5104573527098113e-05,187
37,7.185465574264526,0.9653664311847407,1.813006321589152,0.2428918384350521,0.0001,0.001,rbf,"{'C': 0.0001, 'gamma': 0.001, 'kernel': 'rbf'}",0.21047305843663042,0.21047305843663042,0.21052631578947367,0.2104908075412161,2.5104573527098113e-05,187
38,8.07191244761149,0.5710068647942536,2.336521784464518,0.25431478116854117,0.0001,0.001,sigmoid,"{'C': 0.0001, 'gamma': 0.001, 'kernel': 'sigmoid'}",0.21047305843663042,0.21047305843663042,0.21052631578947367,0.2104908075412161,2.5104573527098113e-05,187
39,5.407163778940837,1.2357406080793674,1.4448835055033367,0.20299597843751332,0.0001,0.01,poly,"{'C': 0.0001, 'gamma': 0.01, 'kernel': 'poly'}",0.21047305843663042,0.21047305843663042,0.21052631578947367,0.2104908075412161,2.5104573527098113e-05,187
40,7.2930653889973955,0.7398388291982871,1.8491167227427165,0.2682407250676628,0.0001,0.01,rbf,"{'C': 0.0001, 'gamma': 0.01, 'kernel': 'rbf'}",0.21047305843663042,0.21047305843663042,0.21052631578947367,0.2104908075412161,2.5104573527098113e-05,187
41,7.508013089497884,0.526195860021139,2.252480904261271,0.19936057477305533,0.0001,0.01,sigmoid,"{'C': 0.0001, 'gamma': 0.01, 'kernel': 'sigmoid'}",0.21047305843663042,0.21047305843663042,0.21052631578947367,0.2104908075412161,2.5104573527098113e-05,187
42,5.626514037450154,0.6452854061296357,1.4756999015808105,0.20009001448709132,0.0001,0.1,poly,"{'C': 0.0001, 'gamma': 0.1, 'kernel': 'poly'}",0.5483528161530288,0.5480662983425414,0.5228136882129278,0.5397458632885715,0.011971734680887773,85
43,7.055091222127278,1.0882133126703823,1.9783254464467366,0.20533300375800348,0.0001,0.1,rbf,"{'C': 0.0001, 'gamma': 0.1, 'kernel': 'rbf'}",0.21047305843663042,0.21047305843663042,0.21052631578947367,0.2104908075412161,2.5104573527098113e-05,187
44,8.689971923828125,0.7942819096117777,2.8594817320505777,0.2717285620006439,0.0001,0.1,sigmoid,"{'C': 0.0001, 'gamma': 0.1, 'kernel': 'sigmoid'}",0.21047305843663042,0.21047305843663042,0.21052631578947367,0.2104908075412161,2.5104573527098113e-05,187
45,2.448305050532023,0.301912335979709,0.49607213338216144,0.06568998174413862,0.0001,1,poly,"{'C': 0.0001, 'gamma': 1, 'kernel': 'poly'}",0.6287952987267386,0.6216216216216217,0.6256517205422315,0.6253561857784619,0.002936223249178897,11
46,5.193048397699992,0.9132506661071594,1.9983032544453938,0.29164715662620705,0.0001,1,rbf,"{'C': 0.0001, 'gamma': 1, 'kernel': 'rbf'}",0.21047305843663042,0.21047305843663042,0.21052631578947367,0.2104908075412161,2.5104573527098113e-05,187
47,8.62334410349528,0.958632641020311,2.863706588745117,0.24497802002640415,0.0001,1,sigmoid,"{'C': 0.0001, 'gamma': 1, 'kernel': 'sigmoid'}",0.21047305843663042,0.21047305843663042,0.21052631578947367,0.2104908075412161,2.5104573527098113e-05,187
48,4.497545083363851,1.0195528417805437,0.2892104784647624,0.055725220977072686,0.0001,10,poly,"{'C': 0.0001, 'gamma': 10, 'kernel': 'poly'}",0.5648241206030151,0.5605749486652977,0.5550847457627118,0.5601617501431642,0.003986711714367008,33
49,6.223926464716594,0.6503548287481329,2.6103108723958335,0.23785180773219416,0.0001,10,rbf,"{'C': 0.0001, 'gamma': 10, 'kernel': 'rbf'}",0.21047305843663042,0.21047305843663042,0.21052631578947367,0.2104908075412161,2.5104573527098113e-05,187
50,6.810153802235921,1.009973781590857,2.2944525877634683,0.24704187040563422,0.0001,10,sigmoid,"{'C': 0.0001, 'gamma': 10, 'kernel': 'sigmoid'}",0.21047305843663042,0.21047305843663042,0.21052631578947367,0.2104908075412161,2.5104573527098113e-05,187
51,4.718071222305298,1.1163275754898738,0.29197072982788086,0.05566865660773497,0.0001,100,poly,"{'C': 0.0001, 'gamma': 100, 'kernel': 'poly'}",0.5648241206030151,0.5605749486652977,0.5550847457627118,0.5601617501431642,0.003986711714367008,33
52,5.2266348997751875,0.2234304984248672,2.153499205907186,0.42831672326284703,0.0001,100,rbf,"{'C': 0.0001, 'gamma': 100, 'kernel': 'rbf'}",0.21047305843663042,0.21047305843663042,0.21052631578947367,0.2104908075412161,2.5104573527098113e-05,187
53,6.285109996795654,1.093410937051786,1.8775755564371746,0.15938664261687438,0.0001,100,sigmoid,"{'C': 0.0001, 'gamma': 100, 'kernel': 'sigmoid'}",0.21047305843663042,0.21047305843663042,0.21052631578947367,0.2104908075412161,2.5104573527098113e-05,187
54,5.561553796132405,1.058778335654422,0.3254551887512207,0.045465459366230775,0.0001,1000,poly,"{'C': 0.0001, 'gamma': 1000, 'kernel': 'poly'}",0.5648241206030151,0.5605749486652977,0.5550847457627118,0.5601617501431642,0.003986711714367008,33
55,4.628445545832316,0.9121941438282766,1.8115290800730388,0.3672571266075443,0.0001,1000,rbf,"{'C': 0.0001, 'gamma': 1000, 'kernel': 'rbf'}",0.21047305843663042,0.21047305843663042,0.21052631578947367,0.2104908075412161,2.5104573527098113e-05,187
56,6.048284689585368,0.8916885639820147,1.9530789057413738,0.18316738485918546,0.0001,1000,sigmoid,"{'C': 0.0001, 'gamma': 1000, 'kernel': 'sigmoid'}",0.21047305843663042,0.21047305843663042,0.21052631578947367,0.2104908075412161,2.5104573527098113e-05,187
57,4.6605063279469805,0.9164043372262806,0.294450044631958,0.04283404329556481,0.0001,10000,poly,"{'C': 0.0001, 'gamma': 10000, 'kernel': 'poly'}",0.5648241206030151,0.5605749486652977,0.5550847457627118,0.5601617501431642,0.003986711714367008,33
58,4.845984220504761,0.887523416371332,2.1551522413889566,0.41607726259056405,0.0001,10000,rbf,"{'C': 0.0001, 'gamma': 10000, 'kernel': 'rbf'}",0.21047305843663042,0.21047305843663042,0.21052631578947367,0.2104908075412161,2.5104573527098113e-05,187
59,6.778189182281494,0.9365683973768559,1.906211296717326,0.1869833898321057,0.0001,10000,sigmoid,"{'C': 0.0001, 'gamma': 10000, 'kernel': 'sigmoid'}",0.21047305843663042,0.21047305843663042,0.21052631578947367,0.2104908075412161,2.5104573527098113e-05,187
