,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0,0.06592509746551514,0.011342545346090407,0.0018085479736328126,0.0004154863767311578,1e-05,{'C': 1e-05},0.7730398899587345,0.7464465841357175,0.7224371373307543,0.7474747474747475,0.7535410764872521,0.7300525561395126,0.7212003872216844,0.7669030732860521,0.7715458276333789,0.7872340425531914,0.7519891855379893,0.02155395862468188,1
1,0.05843820571899414,0.002008735837541904,0.0015190839767456055,8.169058699952627e-05,0.0001,{'C': 0.0001},0.7690848743480323,0.7496395963479097,0.7150837988826816,0.7352185089974292,0.7518427518427518,0.7131862493586455,0.716326530612245,0.7357723577235773,0.7797419971333015,0.7875848690591658,0.7453511408707609,0.025645666486447737,2
2,0.09678409099578858,0.0030444893453642798,0.001498866081237793,3.312372066362311e-05,0.001,{'C': 0.001},0.7736306349975763,0.7424913835548991,0.717234262125903,0.7272727272727272,0.7437848807711822,0.7014218009478673,0.710735060814384,0.728125,0.7712739793408756,0.773,0.7389010582599436,0.025243573652467058,4
3,0.6230616569519043,0.022705628977094414,0.0015040874481201173,3.266529439415408e-05,0.01,{'C': 0.01},0.7724405628335759,0.7420948616600792,0.7190894981893431,0.7296587926509187,0.7419847328244275,0.6994708994708995,0.7101910828025477,0.7260345730749084,0.7695351137487635,0.770854271356784,0.7381395173675955,0.024739905669492888,7
4,6.489324235916138,1.7094955016862539,0.0015205621719360351,3.8391617749759175e-05,0.1,{'C': 0.1},0.7724405628335759,0.7420948616600792,0.7202072538860104,0.7300420168067228,0.7413441955193483,0.6994708994708995,0.7105682421667552,0.7260345730749084,0.7709054923305294,0.7722473604826545,0.7385395390370523,0.02495370874581227,6
5,20.629114818572997,0.930703555819067,0.0018442153930664062,0.0005529376402784646,1,{'C': 1},0.7724405628335759,0.7417283950617285,0.7202072538860104,0.7300420168067228,0.7413441955193483,0.6998411858125992,0.7105682421667552,0.7260345730749084,0.7716691431401684,0.7722473604826545,0.7386162306712566,0.024991115458618672,5
6,20.312112903594972,0.07326251005449555,0.001676630973815918,7.499005685856061e-05,10,{'C': 10},0.7724405628335759,0.7451756556160316,0.720580611715915,0.7320398531725223,0.7395727365208546,0.7033315705975675,0.7111111111111111,0.7269874476987448,0.7740029542097489,0.7709273182957393,0.7396210732296321,0.024452901912757646,3
7,20.76362473964691,0.05013933315078385,0.0016602754592895507,3.2004806008194724e-05,100,{'C': 100},0.7400966183574879,0.7140664961636828,0.7000000000000001,0.6940874035989718,0.7290289781392985,0.6746361746361746,0.7021696252465484,0.7283464566929134,0.7781885397412199,0.6294736842105263,0.7090132501961801,0.0379585296595656,8
8,20.917576813697814,0.048128491538851674,0.0017572402954101562,0.00021162622404037007,1000,{'C': 1000},0.6676190476190476,0.621105527638191,0.6441005802707931,0.6673031026252982,0.5823627287853577,0.6689221846302561,0.6310043668122272,0.682995760715968,0.7156756756756757,0.6712871287128713,0.6552352920107473,0.035146561487147995,9
9,20.92304084300995,0.02720426342633829,0.002216935157775879,0.0016938965287014438,10000,{'C': 10000},0.7297668038408779,0.5964912280701755,0.6806226516371444,0.5144076840981857,0.5331278890600925,0.6857697911607578,0.6137787056367432,0.5440528634361234,0.6580046403712297,0.6543330087633885,0.6210444998518436,0.06908025273598963,10
