,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0,0.07156364917755127,0.013041248701459337,0.0017548799514770508,0.0004214668565515675,1e-05,{'C': 1e-05},0.7932112550245645,0.8066397487662629,0.7767441860465115,0.7727690892364305,0.8175248419150859,0.7849162011173185,0.7719626168224298,0.7994416007445324,0.7497612225405922,0.7518587360594796,0.7824878459616966,0.02113335551929687,7
1,0.059008216857910155,0.005511612904401124,0.0014918088912963868,0.00019083203731188805,0.0001,{'C': 0.0001},0.8129395218002814,0.8224740321057601,0.774064837905237,0.7708842208109429,0.824810606060606,0.794,0.7784967645594822,0.8128078817733989,0.7515151515151515,0.7481371087928466,0.7890195456384264,0.027025824576077682,4
2,0.10661063194274903,0.008386041929661515,0.0014256477355957032,3.318307008836685e-05,0.001,{'C': 0.001},0.8217726396917148,0.8420019627085377,0.760460251046025,0.774390243902439,0.8212180746561886,0.8063524590163934,0.791476407914764,0.8126272912423625,0.7366737739872068,0.7344573234984193,0.7901520477744748,0.0353757468684253,1
3,0.6109956979751587,0.0695730706067969,0.001492142677307129,4.8437977796542435e-05,0.01,{'C': 0.01},0.8254122211445198,0.8429345150172329,0.7571277719112988,0.7770961145194274,0.8197530864197531,0.8078310149407522,0.7930505876341338,0.8097909229984702,0.7330462863293864,0.7289220917822838,0.7895061972292926,0.03725435319358541,2
4,6.227161622047424,1.5092278766114278,0.0014841794967651368,3.3549899535197916e-05,0.1,{'C': 0.1},0.8242718446601941,0.8416378885051801,0.7559555320275279,0.7781186094069531,0.8185862580326249,0.8074150360453141,0.7938618925831202,0.810617662072486,0.732470334412082,0.7272727272727272,0.7890303650536573,0.03733107676313005,3
5,19.508595848083495,0.9805799444156017,0.0019365310668945312,0.0009177948468841564,1,{'C': 1},0.8242718446601941,0.8416378885051801,0.7555555555555555,0.7781186094069531,0.8185862580326249,0.8074150360453141,0.7938618925831202,0.810617662072486,0.7317862924986508,0.7272727272727272,0.7889219881371479,0.03747053529980711,6
6,19.630301237106323,0.23369020775692417,0.0016635656356811523,5.9050968641099546e-05,10,{'C': 10},0.823871906841339,0.8416378885051801,0.7538380095288512,0.7741935483870968,0.8202080237741456,0.8098918083462132,0.7950945324476238,0.8116385911179174,0.7331536388140162,0.7256162915326904,0.7889239095060645,0.03812909891728419,5
7,21.027031350135804,0.20818894336634308,0.00165102481842041,2.5035188281036886e-05,100,{'C': 100},0.7949673811742779,0.8129770992366412,0.7636549259826442,0.7612387612387613,0.7676266137040715,0.7964338781575038,0.7951338199513382,0.8040816326530612,0.6896174863387978,0.7303077725612938,0.7716109784718845,0.03618482147927579,8
8,21.433902263641357,0.24535151895882604,0.0017842531204223632,0.0001563238481431044,1000,{'C': 1000},0.7334035827186514,0.5737615677735437,0.7262396694214877,0.45772409408773046,0.7635574837310195,0.7754491017964072,0.6816479400749064,0.7794187708432588,0.6582694414019715,0.6380090497737557,0.6787431264930138,0.09689849142565077,10
9,21.657562327384948,0.1767266055553372,0.001716017723083496,0.0001371745910108007,10000,{'C': 10000},0.7353652636671505,0.760932944606414,0.7264875239923223,0.7149508535954476,0.5605427974947806,0.7438349270256668,0.7007444168734491,0.7512537612838515,0.7000928505106778,0.6551543694400838,0.7049412473985824,0.05626412078422227,9
